,Gene,Gene Name,Target,For Length,For Score,Rev Length,Rev Score,Gene Length,Outcome,Manual
0,BBF10K_000164,MMSYN1_0373,gene,579,579,572,572,1608,Perfect,0
1,BBF10K_000393,MMSYN1_0879,gene,539,539,583,583,2658,Perfect,0
2,BBF10K_000179,MMSYN1_0398,gene,510,218,470,202,2463,Bad clone,Original Vector Sequence
3,BBF10K_000179,MMSYN1_0398,backbone,510,510,470,470,893,Perfect,Original Vector Sequence
4,BBF10K_000232,MMSYN1_0493,gene,538,227,550,263,1350,Bad clone,Unknown Sequence
5,BBF10K_000232,MMSYN1_0493,backbone,538,228,550,232,893,Bad clone,Unknown Sequence
6,BBF10K_000379,MMSYN1_0836,gene,548,548,544,544,927,Perfect,0
7,BBF10K_000216,MMSYN1_0439,gene,538,538,544,544,2157,Perfect,0
8,BBF10K_000386,MMSYN1_0870,gene,511,511,595,595,1767,Perfect,0
9,BBF10K_000016,MMSYN1_0030,gene,577,574,557,556,1035,Mutation: 3.0 1.0,1
10,BBF10K_000016,MMSYN1_0030,backbone,577,238,557,239,893,Bad clone,1
11,BBF10K_000356,MMSYN1_0805,gene,521,521,528,528,1176,Perfect,0
12,BBF10K_000436,MMSYN1_0797,gene,536,237,562,237,237,Perfect,0
13,BBF10K_000410,MMSYN1_0482,gene,525,165,836,155,165,Bad Reverse,Perfect
14,BBF10K_000410,MMSYN1_0482,backbone,525,219,836,313,893,Bad clone,Perfect
15,BBF10K_000408,MMSYN1_0315,gene,506,153,554,153,153,Perfect,0
16,BBF10K_000430,MMSYN1_0649,gene,557,225,531,225,225,Perfect,0
17,BBF10K_000265,MMSYN1_0601,gene,485,485,524,524,945,Perfect,0
18,BBF10K_000414,MMSYN1_0851,gene,531,183,80,38,183,Bad Reverse,Perfect
19,BBF10K_000414,MMSYN1_0851,backbone,531,219,80,39,893,Bad clone,Perfect
20,BBF10K_000037,MMSYN1_0081,gene,533,533,553,553,1359,Perfect,0
21,BBF10K_000426,MMSYN1_0621,gene,491,222,560,222,222,Perfect,0
22,BBF10K_000318,MMSYN1_0692,gene,552,552,531,531,909,Perfect,0
23,BBF10K_000209,MMSYN1_0431,gene,524,524,516,516,774,Perfect,0
24,BBF10K_000412,MMSYN1_0526,gene,179,179,181,180,180,Perfect,0
25,BBF10K_000162,MMSYN1_0371,gene,511,228,519,227,1872,Bad clone,Unknown Sequence
26,BBF10K_000162,MMSYN1_0371,backbone,511,217,519,216,893,Bad clone,Unknown Sequence
27,BBF10K_000322,MMSYN1_0697,gene,522,522,528,528,957,Perfect,0
28,BBF10K_000008,MMSYN1_0008,gene,171,170,552,552,978,Mutation: 1.0 0.0,1
29,BBF10K_000008,MMSYN1_0008,backbone,171,77,552,226,893,Bad clone,1
30,BBF10K_000048,MMSYN1_0116,gene,546,441,518,441,441,Perfect,0
31,BBF10K_000273,MMSYN1_0614,gene,555,555,563,563,1062,Perfect,0
32,BBF10K_000376,MMSYN1_0833,gene,504,444,539,444,444,Perfect,0
33,BBF10K_000074,MMSYN1_0165,gene,559,559,533,533,1245,Perfect,0
34,BBF10K_000249,MMSYN1_0525,gene,589,173,407,168,402,Bad clone,Original Vector Sequence
35,BBF10K_000249,MMSYN1_0525,backbone,589,589,407,407,893,Perfect,Original Vector Sequence
36,BBF10K_000107,MMSYN1_0250,gene,544,544,542,542,690,Perfect,0
37,BBF10K_000076,MMSYN1_0167,gene,493,377,552,301,1701,Bad clone,Partial
38,BBF10K_000076,MMSYN1_0167,backbone,493,215,552,237,893,Bad clone,Partial
39,BBF10K_000059,MMSYN1_0140,gene,499,492,1135,619,630,Mutation: 7.0 11.0,1
40,BBF10K_000059,MMSYN1_0140,backbone,499,209,1135,351,893,Bad clone,1
41,BBF10K_000094,MMSYN1_0222,gene,546,546,521,521,1920,Perfect,0
42,BBF10K_000042,MMSYN1_0107,gene,358,146,543,177,399,Bad clone,Unknown Sequence
